Number,File Location,Title/Description,Date,Source Type,Priority Level for Synthesis Doc,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Bias rating discussion,Faster?,Worse?,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Indepedent Source Verification for 3/4s
222,Health/prevalence and trends in pediatric conditions USA.pdf,"Prevalence and Trends in Pediatric-Onset Chronic Conditions in the United States, 1999-201",2024,Academic/Peer-reviewed,Secondary,Survey of pediatric conditions in the US,"7.75% increase in child presentations in 19 years.  ADHD/Autism/Asthma all have double digit growth, in all age groups.  Ironically noncitizens and asian/hispanic have lower prevalence.  Substantial ongoing rise in child health conditions.  Poorness is tracked, so something about prenatal exposures?",7.75%,,FALSE,TRUE,3,"Our children are getting sicker, and childhood illnesses lead to more life long illnesses.",Observation
223,Health/un-fertility-rate-by-income-level-charts-deifies-logic-v0-6xb1317sw46f1.webp,Un World Population Prospects - fertility rates by income,2024,Government,Primary,1960 to now,"Contrary to most 'overall' expectations, all income levels have decreased fertility, persistent and similar together",,,TRUE,TRUE,2,,
224,Ocean/antartica methane release.rtf,"Spanish scientific expedition discovers massive methane emissions from Antarctic seabed with columns up to 700m long, warns of 24 gigatons of carbon stored in methane hydrates equivalent to 2 years of human emissions, potential tsunami risks from landslides",2025,News/Media,Primary,"Report on spanish antartica expedition, looking for seabed earthquakes/movement that might 'loosen' methane, post glacial rebound","They found it, first time they went looking.  700 meters long and 70 meters wide, 20,000 yo methane, approximate estimates of 25 Gts in similar deposits.  This is mechanical release, unknown time frame for release but 2015 is when ice started to vanish in a large way",280%,60yr ahead of schedule,FALSE,TRUE,4,"You CAN predict system dysfunctions.  Then a reasonable/reasonable mind goes looking.  And here we have it.  My guess is that the salinity/upwelling we're seeing in currents is going to help this along quite mammothly.  I wonder if upwelling might not help methane releases 'skip' to the surface faster.   We will be seeing shortly, considering both are increasing sharply now",Observation
225,Ocean/200m off atlantic coast.jpg,Sensor data off the coast of NC,2024,Academic/Peer-reviewed,Secondary,"Coastal Pioneer MAB off the coast of North Carolina, 2024",Visible heatwaves of weeks/months visible down to 200m.  Just a decade ago this was considered 'impossible',,,TRUE,TRUE,3,"You can go look at available data right now, and challenge long term assumptions on earth systems dynamics.  It's right there, just waiting.  That means our errors are…quite basic unfortunately",Multiple/Observation
226,Ocean/AMOC-letter_Final.pdf,Open Letter by Climate Scientists to the Nordic Council of Ministers,2024,Academic/Peer-reviewed,Primary,Open Letter  from Climate Scientists to Nordic Council,"Tipping points can occur at 1.5 to 2C, and AMOC likely to 'collapse' before 2100.  Mostly a policy 'call to action' but reflective of growing concern",,,TRUE,FALSE,2,,
227,Ocean/Climate change_ North Sea and Baltic Sea suffer from _marine heatwaves_ _ YACHT.pdf,Report from Yacht Online on sea heatwaves,2024,News/Media,Secondary,Report on Exceptional heatwaves in Baltic and North seas,"55 days with maximum of 4.3C anomaly, and this all had to be satellite confirmed.  In situ measurement wasn't available…",,,TRUE,TRUE,3,,Observation
228,Ocean/El Nino & La Nina.pdf,NOAA ENSO Data,2024,Academic/Peer-reviewed,Secondary,"Aug to Sep 2024, analysis of ENSO conditions by NOAA","Of note, ENSO variability is suffering heating signals here, and even a record year of temps can make a la nina quite hot",,,FALSE,FALSE,3,,Observation
229,Ocean/Global Change Biology - 2025 - Findlay - Ocean Acidification Another Planetary Boundary Crossed.pdf,Ocean Acidification: Another Planetary Boundary Crossed,2025,Academic/Peer-reviewed,Primary,7/9 of planetary boundaries crossed,"OA definitely past boundary, 40% of surface ocean and 60% of upper ocean (200m) past arganite requirement.  This is a nonlinear process, and in many places much worse readings are appearing",,,TRUE,TRUE,3,"7/9 boundaries crossed, but we still have time?  Is that right?  Can I ask, we're planning to stop heating with geoengineering.  How do we stop the ocean acidification?  Which of the other 7 boundaries can we solve?  Or are we going to have to geoengineer 7 separate solutions?  Because what sort of three-body problem is THAT scenario",Multiple
230,Ocean/Ocean_pH_graph.jpg,ALOHA station readings PH,2023,Academic/Peer-reviewed,Secondary,hawaii measurements of CO2 in different environs,"Ocean ph to 8.08 and 8.03, reflective of same trajectory of atmospheric CO2",,,TRUE,TRUE,3,"CO2 isn't changing downwards, so ph won't either.  I do expect PH to have a driver of methanotrophs > methane > additional water CO2, but I doubt we can constrain it currently",Multiple/Observation
231,Ocean/Probability Estimates of a 21st Century AMOC Collapse.pdf,Probabilities of AMOC collapse,2024,Academic/Peer-reviewed,Primary,observational probably estimates,"10 to 90% confidence of collapse by 2037 - 2064, 59+/-19% likely before 2050, subsurface salinity is the biggest sign prior to immediate shift, EWS is unreliable, they say to monitor SMOC.  Guess what we didn't do?",50%,,TRUE,FALSE,4,"Observation should always trump models, and we should update as fast as humanly possible.  Oh well, here we are.  Surface salinity is the biggest sign and shift, which is exactly what we see in the 'smoc reversal'.  So we've got the biggest trigger already pulled.",Estimates of AMOC tipping years
232,Ocean/Revisting effects of AMOC weakening.pdf,Revisiting climate impacts of an AMOC slowdown: dependence on freshwater locations in the North Atlantic,2024,Academic/Peer-reviewed,Primary,"AWI-CM3 global climate, 200 year model runs","Surface temp drops of 4 to 6C in places, cold spell duration index increases nonlinearly, despite this blue ocean events and ice free summers occur, but rather than bipolar, regional variability is high and not uniform",,,TRUE,TRUE,2,I've never been convinced by the 'european freeze' but we may get to see in real time if its correct.,
233,Ocean/Weakening of the Atlantic Meridional Overturning Circulation driven by subarctic freshening since the mid-twentieth century _ Nature Geoscience.pdf,Weakening of the AMOC driven by subartic freshening,2024,Academic/Peer-reviewed,Primary,CMIP6 models with meltwater are inaccurate.  Updating models and providing measurements to build possible pathway.  ACCESS-ESM1.5 + OM2-025 + 5 pathway,"70 years into AMOC weakening already, with nonlinear losses well underway.  33% weakening by 2035/2C.  Large drops possible in just a few years",220%,,TRUE,FALSE,4,"We are late to the party.  Our grandparents started the change, or maybe the system did something itself, and regardless we're just slow picking up the pieces.  BTW we have five direct AMOC studies here, so I'm pretty confident.  Definitely 80% now.  CMIP6 major errors are >8",Multiple Probabilities of AMOC collapse
234,Ocean/amoc probability.webp,Estimates of AMOC tipping years,2024,Unknown,Secondary,Probability distribution of AMOC collapse,"Starts as soon as right now, and >50% chance of before 2050",100%,,TRUE,FALSE,3,That's likely 50 years at least earlier than IPCC (and more if we use other studies too).  How many other events are going to be 50 years earlier?  All of them?,Multiple  Estimates of AMOC tipping years
235,Ocean/amoc tipping course.pdf,Physics-based early warning signal shows that AMOC is on tipping course,2024,Academic/Peer-reviewed,Secondary,"Break regression analysis of AMOC tipping, pure model","Tipping point was probably 200 years in the past, minimum.   Future 'collapse state' 150 years in the future, but of note loss of function and heating is continuous if nonlinear.  Again mammoth heat anomalies of a permanent nature can manifest well before 'collapsed' state, which is never complete cessation.  Collapse in inevitable here though",200%,>2C was almost unthinkable prior to 2023. I'm going with 300%,TRUE,FALSE,3,"If we've got the tipping point wrong by 200 years, I'd say 300% sized error.  I like this study becomes it shows to me ratcheting, we always want there to be ONE tipping point.  Why not many?  And what if some are behind us, and the 'one' we're waiting for is inevitable based on the priors?",Multiple
236,Ocean/bottom marine heatwaves.pdf,Gulf Stream mesoscale variabilities drive bottom marine heatwaves in Northwest Atlantic continental margin methane seeps,2025,Academic/Peer-reviewed,Primary,BMHW and HSZ analyzed,"shallow shelf and slope hydrate are at immediate risk of destabilization and some are doing so already.  BMHW are sufficient alone to destabilize, and vertical expansion of around 50m/year but likely not linear.  1 to 3m of sediment penetration.  Rough math is 500 to 700m by 2030, and who knows how much sediment.  Warming sediment is itself a feedback loop",200%,2 to 4x frequency,TRUE,TRUE,4,"500 to 700m by 2030 means world ending amounts of hydrates are all exposed to heat (if not already right now).   If we combine this with the increased temperature anomalies we're seeing, how fast do we think a hydrate deposit can last under a 6C anomaly?  One that lasts >30 days?",Gas seeps and gas hydrates in the Amazon deep-sea fan
237,Ocean/bottom marine shelf heatwaves.pdf,Bottom marine heatwaves along the continental shelves of North America,2025,Academic/Peer-reviewed,Primary,GLORYS data validated against insitu measurements,"BMHW > SMHW in both duration and intensity, and SMHW are not indicators of when a bottom one is occuring.  Gulf of CA had 5C @ 100M depth, others have persisted for 7 months.",,,TRUE,TRUE,4,"Oceans don't work how we thought.  And we can't track the depths via the surface, so it's invisible in many instances.  And that heat is reaching hydrate levels, and sea beds, and is strong enough that even the ground will absorb heat.  We have no protections here",Gulf Stream mesoscale variabilities drive bottom marine heatwaves in Northwest Atlantic continental margin methane seeps
238,Ocean/gas seeps and hydrates.pdf,Gas seeps and gas hydrates in the Amazon deep-sea fan,2018,Academic/Peer-reviewed,Primary,Analysis of 53 distinct gas seeps from Amazon fan,"650 to 715m depths, much biogenic but at least some thermogenic in GHSZ.  Mechanical forces can destabilize hydrates, easily even, and do so regularly.  Most of this hydrate loss is natural, but bottom water heating may be effecting some 40% of the total analyzed.",40%,"At that depth, traditionally no methane was 'supposed' to be heated",TRUE,TRUE,4,"Bottom heating and GHSZ is unstable.  That's 2 silver bullets in one observational study.  And again we could doubt it, but look, we have both of these in OTHER observational studies here too.  So this is confirmation.  I told you, I don't like to rely on one source if I can help it.  So here we go, methane is unstable in at least six locations, and through multiple mechanisms.  And old methane too.  We have a large amount of new carbon about to be added to the system, and now we just debate how much and how fast.  But considering it wasn't supposed to at all...my guess is its already adding up, and accelerating, and we haven't seen it all",Gulf Stream mesoscale variabilities drive bottom marine heatwaves in Northwest Atlantic continental margin methane seeps
239,Ocean/impact of weather on rich and poor.pdf,Global economic impact of weather variability on the rich and the poor,2024,Academic/Peer-reviewed,Secondary,Modelled risk and economics of LIC vs HIC countries,"Some very very conservative assumptions but as expected LIC generally suffer worse.  Though of note HIC actually suffer the most consumer demand, perhaps destabilizing macroeconomics.  'squeezing' out of poorer buyers may occur, but this all assumes stability despite across the board increases on all nations",,,FALSE,TRUE,2,LIC DO provide outputs to HIC.  Rare earth metals are a good one.  Has anyone considered that if too many LIC go 'offline' that we can't transition to green tech in the rich countries?  And what about fertilizers?,
240,Ocean/increase in ocean inertia.pdf,Observed multi-decadal increase in the surface ocean’s thermal inertia,2024,Academic/Peer-reviewed,Secondary,Study of surface ocean's thermal inertia,"SST anomaly time scale up 100% from 1982, MHW > 30 days in 80% of ocean, MLD is in fact increasing/deepening, against CMIP6 projections",100%,Due to SST memory,FALSE,TRUE,3,"Again a CMIP6 error, and a big one.  Longer heat events > more mixing?  Not sure of that, but more time for convective channels to temporarily form?",CMIP6 Errors
241,Ocean/nasa-analysis-shows-un.jpg,NASA estimate of sea level rise,2024,Government,Secondary,Nasa sea level rise analysis,"4in of sea ocean rise already, >6in by 2040",,,TRUE,FALSE,2,,
242,Ocean/ocean darkening.pdf,Darkening of the Global Ocean,2024,Academic/Peer-reviewed,Secondary,Oceans are visible darkening,"Bigger than deforested area of earth, sun causes seem to be unlikely, loss of albedo though currently small.  Biological and chemical",%,,FALSE,TRUE,2,,
243,Ocean/ocean extremes as stress test.pdf,Ocean extremes as a stress test for marine ecosystems and society,2025,Academic/Peer-reviewed,Secondary,Ocean heatwaves of 2023 and 2024,"9% of the ocean minimal experienced highest temps ever, 240% increase in MHW days, despite this most forecasting was robust and events were generally predictably a few days ahead of time",140%,"Hard to assess here, so let's go with BMHW",FALSE,TRUE,3,more MHW > more water in the air > more humidity/heat in shore regions > more wet bulb temps,Multiple/Observation
244,Ocean/oisst2.1_gomex_sst_day.jpeg,Climate Reanalyzer Ocean readings,2024,Academic/Peer-reviewed,Secondary,"Gulf of mexico, 2025","Record high for that date and time, 2024 was anomalous most of the year",,,FALSE,TRUE,2,There are methane deposits in the gulf,
245,Ocean/oisst2.1_nino3.4_sst_day(1).jpeg,Climate Reanalyzer Ocean readings,2024,Academic/Peer-reviewed,Secondary,"Nino 3.4, 2025","Year begins in light to moderate la nina, -.5 anomaly",,,FALSE,TRUE,2,,
246,Ocean/oisst2.1_world2_sst_day(2).jpeg,Climate Reanalyzer Ocean readings,2024,Academic/Peer-reviewed,Secondary,"Total sea surface anomaly, 2025, say time as la nina",2nd highest sea temps of all time despite light la nina,,,FALSE,TRUE,3,,Observation
247,Ocean/oisst2.1_world2_sst_day(3).jpeg,Climate Reanalyzer Ocean readings,2024,Academic/Peer-reviewed,Secondary,"Daily sea surface anomaly 2025, la nina vanishing","Still 2nd or 3rd all time, despite la nina disappearing to enso neutral",,,FALSE,TRUE,3,,Observation
248,Ocean/oisst2.1_world2_sst_day.png,Climate Reanalyzer Ocean readings,2024,Academic/Peer-reviewed,Secondary,2024 SST anomaly,Weakened Atlantic Meridional Overturning Circulation causes the historical North Atlantic Warming Hole,,,TRUE,FALSE,3,"la nina shouldn't just equal cooler general temps, of course not.  But look how little effect it is having.  That's hard to read as anything but 'not sufficient to cool us much' or else 'its doing lots of work…but there's even MORE heat'",multiple Probabilities of AMOC collapse
249,Ocean/oni & roni.png,Leon Simons ONI & RONI,2024,Academic/Peer-reviewed,Secondary,Comparison of ONI and RONI,"Decoupling began in 2013, now 300% off and for prolonged periods.  No period of RONI higher",200%,,FALSE,TRUE,3,,Observation
250,Ocean/rate of ocean warming.jpg,Ceres measurements of rate of ocean warming,2025,Unknown,Secondary,Ceres rate of ocean warming chart,Ocean warming tracking above all projections,,,TRUE,TRUE,3,,Observation
251,Ocean/reconciling earth's energy imbalance with ocean warming.pdf,Reconciling Earth’s growing energy imbalance with ocean warming,2024,Academic/Peer-reviewed,Secondary,Trying to disentangle heating evens of 2023,"Only explanation for giant jump in ocean heat in 2023 is if deep oceans are suddenly fluxing, absorbing more heat",40%,,TRUE,TRUE,3,"I have no proof of this, but should the flux change or reverse, then surface temps could truly jump.  I don't model this, because I have no evidence for this one.  But here we can see it can work in one direction no?",Observation
252,Ocean/two bands of unexpected warming in oceans.pdf,Distinctive Pattern of Global Warming in Ocean Heat Conten,2025,Academic/Peer-reviewed,Primary,"Observations of surface warming, uneven behavior appearing","Two bands, 40N and 40 to 45S, appearing with increased heating, with little to no heating in the subtropics.  Southern hemisphere heating more.  Non modeled ocean changes",,,FALSE,TRUE,3,"Regional heating doesn't need to follow any pathways from the major models, but doesn't that mean we need more resolution in our models before we can know actual progression?",Observation
253,Ocean/venting of methane.pdf,Long-distance migration and venting of methane from the base of the hydrate stability zone,2023,Academic/Peer-reviewed,Primary,Mauritanian continental margin,"HSZ This is deep methane, the 96.5 that 'can't fire' and yet it did, not too long ago.  Right conditions and it fires in a widespread way.  330m depth here, but methane hsz is much deeper",96%,,FALSE,TRUE,4,"So the HSZ isn't so stable.  It is pierceable, methane can be liberated, mechanical forces can have an effect.  This is the MOST stable methane, and it isn't all that stable.  And we have studies showing seabed can warm several meters per year.  This is terrifying and I'm still not going to think about it much.  The other 3% of methane can kill us.  Any of this stuff destablizes, and it really does mean we become Venus.",Gulf Stream mesoscale variabilities drive bottom marine heatwaves in Northwest Atlantic continental margin methane seeps
254,Ocean/weakened amoc.pdf,Weakened Atlantic Meridional Overturning Circulation causes the historical North Atlantic Warming Hole,2025,Academic/Peer-reviewed,Primary,Analysis of north atlantic warming hole,"Only models with already weakened amoc can model this.  CMIP6 mostly simulate stengthening, meaning CMIP5 were more accurate here.  SPG weakening is obvious.  Overestimate cloud/aerosol interactions in newer models are obvious",60%,Number of CMIP6 models that are wrong,TRUE,FALSE,4,"The AMOC has already weakened, and the CMIP6 models not only can't see it, but guess in the wrong direction.  So follow this amoc flickering > salinity changes > more collapse of SPG/polar vortex > arctic sea ice loss > more salinity changes.  These have ALL happened already.  We're not threatening an amoc flickering or tipping, its already happened.  In the past.  It's even worse.  Smoc flickering (2015) > salinity changes > antarctica SPG flickering (2023) > antarctica sea ice loss.  This has already happened!  The entire system has shifted.  We don't have flickering here, we have full regime shift, system wide.  That's a cascade.  We are IN a cascade collapse of ocean currents, all observation based, not modelled.  We are so far behind in our timelines, we are hunting for events we will never see because they have FINISHED",Multiple Probabilities of AMOC collapse CMIP6 Errors
255,Ocean/weldeab-et-al-2022-evidence-for-massive-methane-hydrate-destabilization-during-the-penultimate-interglacial-warming.pdf,Evidence for massive methane hydrate destabilization during the penultimate interglacial warming,2022,Academic/Peer-reviewed,Primary,"Methane has escaped in a large way previously, 125,000 last interglacial period","Intermediate water 6C, bottom water of 7C, 500m to 1000m depths, over no more than a few hundred years .  This suggest methane releases can be 'fast', widespread and that water can heat much more than assumed.  Of note, we have reached some of these anomalies, though luckily not for long periods so far",200%,3 to 6x current hazard assessments,TRUE,TRUE,4,"So it's not just us that is heating the oceans.  The oceans, at depths, just can get hot.  Likewise methane isn't stable.  It can be destabilized by natural processes, en masse, quickly.  Our assumptions are just tripping over themselves here.  This one study, if true, tells us the only thing protecting us from mass methane destabilization is...time?  Maybe?  And methanotrophs.   By OUR math here, this means there's now nothing protecting us, or shortly there won't be.  This is an 'any day now' threat",Multiple
256,Science & Institutions & Concepts/Cop29 climate finance deal criticised as 'travesty of justice' and 'stage-managed' _ Cop29 _ The Guardian.pdf,News story on Cop29,2024,News/Media,Secondary,Accusatory article on COP as 'performative',"1.35trillion demanded, 300 billion 'pledged' but previous pledges are generally not met.  Up until 2021, no year was more than 90% met, with many less than 50%.  It is possible 2023 was completed however.",78%,And this is if all the money shows up,TRUE,TRUE,3,"1 year of full commitment, most years < 80%.  This year asked for 1.35 trillion, got 300 billion.  At this rate of increase (300%), we'd get to the 10 trillion a year (vastly underestimated by math), in 3 years!  This is why you don't use one year for your trendline...if we use 5 years, we'll get there in 15 years.  That means well past 2C.  So we've got to get a tripling rate down from five years",Observation
257,Science & Institutions & Concepts/GTP-Summary.-041223.pdf,Global Tipping Points Summary 23,2023,Academic/Peer-reviewed,Secondary,"Global tipping points, summary","early warning signals' for amoc, amazon and greenland ice sheet.  Other tipping points are 'at risk' at 1.2C but I guess not firing?  Whole report reads like it was 15 years ago",38%,"They say 5/8, I say 8/8. So 3/8 error",TRUE,TRUE,3,,Observation
258,Science & Institutions & Concepts/GTP-full-report-071223.pdf,Global Tipping Points Full Report 23,2023,Academic/Peer-reviewed,Secondary,GTP full report,"This is a good intricate report that completely uses conservative insitutional information.  Everywhere you look are assumptions, but why the same assumptions?  Why always safer?  Why never, and we could be wrong here and it might be awful and here is what that might look like.  Seems irresponsible not to put the full potential range of outcomes.  Everything is based on 1.5/2 and IPCC pathways/estimates",,,TRUE,TRUE,3,"How many documents can you discard because they use pathways that don't fit observation?  Well, none of them.  We can be sloppy and absolutist, good ideas are all over.  Just frustrating that everything needs so much correction.",Multiple/Observation
259,Science & Institutions & Concepts/IPCC_AR6_WGII_FinalDraft_FullReport.pdf,IPCC AR6,2022,Academic/Peer-reviewed,Primary,Full WGII IPCC AR6 report,"Just the IPCC report, presented for completeness and reference points.  I could itemize this if I had 10 years",,,FALSE,FALSE,1,"I know I'm not this complete.  I'm just 1 guy though, unpaid.",
260,Science & Institutions & Concepts/NSF lay offs.jpg,Layoffs at NSF,2025,Government,Secondary,2026 budget estimates for NSF,"240,000 lay offs, or 72% of workforce",72%,,FALSE,TRUE,3,"72% of staff gone = how much science gone?  More or less than 72%?  Some amount of loss definitely.  So see, we're reducing our new discovery and synthesis capacity in absolute terms at the same time stressors are showing.  And I guess we're asserting the science is 'solved.'  Does the evidence I bring you convince?  Are they wrong?  Or am I worrying over nothing?",Observation
261,Science & Institutions & Concepts/RAND_RRA1645-8.pdf,Assessing Risk to National Critical Functions as a Result of Climate Change,2023,News/Media,Secondary,RAND review of national critical functions,"45 of 55 NCF registered as at least minimally stressed by 2050.  By 2100, 3 are 'critical' however.  Damage per year is now 3x 1990s and 6x 1980s.  RCP 4 and 8 are being used only, and yet Math isn't being done here…",,,TRUE,TRUE,3,"So at what point does professed universal resilience start to be a bias?  Think of how many studies we have that suggest a 'breakout' event.  Why are those breakouts?  Why don't they prove the systems involved are changing?  Why must stability be challenged?  Because we had it stable before yes, but look, it's not stable now.  We need to shift the burden here.  Now you need to PROVE stability",So conservative it's verifiably wrong now
262,Science & Institutions & Concepts/RAND_RRA2981-1.pdf,Global Catastrophic Risk Assessment,2023,News/Media,Secondary,Rand report on 'possible catastrophic risks' over the next 30 years.,"Interesting mostly for what it leaves out.  Topics are AI, Supervolcano, climate change, asteroid, nuclear war and pandemics",,,FALSE,TRUE,3,"Every notice how many reports and analysis there are of polycrisis/metacrisis?  Everyone thinks its coming, but can't define exactly how.  All I'm doing is moving forward the 'when'.  I freely admit the full 'how' is too chaotic for me to predict.  But if I'm right about there being a conservative error, and we map that onto their predictions, they say the same time frames I do.  That's all this is...well that, and a little bit of roping all their nonsense together like they refuse to do",So conservative it's verifiably wrong now
263,Science & Institutions & Concepts/WEF_Global_Risks_Report_2023.pdf,World Economic Forum World Risks Report,2023,Academic/Peer-reviewed,Secondary,"Polycrisis, multi-domain survey report","Top short term risks, cost of living, societal fragmentation, extreme weather.  86% expect persistent crisis over the next 10 years, and only 20% expect 'stability' over that time frame",86%,,FALSE,TRUE,3,"When 86% of experts expect crisis, the question becomes why are you acting like normal?  Do you think crises isn't a big deal?  Do you think you can 'handle' a crisis?  If it doesn't effect you materially and mammothly…it's not a crisis.  To be warned against a danger and do nothing shows you don't understand.  It's possible that's what we are.  Ignorant and unimaginative.  We need to recognize we're failing and have a bias towards normalcy and safety",
264,Science & Institutions & Concepts/cmip6 subpolar gyre.pdf,Causal Mechanisms of Subpolar Gyre Variability in CMIP6 Models,2023,Academic/Peer-reviewed,Primary,"Subpolar gyre tipping behavior, modeling on 47 attempts","Only CESM2 could model full feedback cycle, with salinity becoming a bigger driver than temperature.  This means CMIP6 models may not be accurately able to describe tipping point behaviors, even of (fairly) simple systems.  This is a known feedback and we can't model it despite anticipation",100%,All nonCESM2 models missed,TRUE,TRUE,4,"A known simple feedback cannot be modeled by any but a single model.  We cannot trust our models!  We should not trust them!  If you don't get a scary answer out of your model, that doesn't mean things are safe.  Likewise if you get a scary answer out of your model, don't assume its true!  The models needs to give you some small answer and be discarded.  And if you need a bigger answer...get better models.  Please keep this in mind with everything we do - observations > Models, and our observations are showing models are wrong",CMIP6 Errors
265,Science & Institutions & Concepts/flickering.pdf,Explanation of flickering,2012,Academic/Peer-reviewed,Primary,"Very good over time study of a chinese lake, shows that low resolution, long time frame studies can nonetheless detect and even predict system shfits","Flickering was evident for 10 to 30 years prior to final collapse state, with multiple 'tipping points' falling in quick succession.  A good overall view of a system to collapse view",,,TRUE,TRUE,1,"Flickering can last a long time.  It can be slow and subtle, it can look like variability, it can move on whatever pathway it wants.  It doesn't have to be 30 years of earth quakes.",
266,Science & Institutions & Concepts/implications-of-climate-change-for-us-army_army-war-college_2019.pdf,Implications of Climate Change for the U.S. Army,2019,Government,Secondary,"Some much less fearful predictions from 2019, from the US army.  Do please note the decidely less conservative tone",1/3 of population likely water-stressed by 2030.  By 2040 global freshwater demand likely to be higher than supply.  They see 'water wars'.  Hundreds of millions of refugees expected,,,TRUE,TRUE,2,"The military has one of the more clear eyed versions of the future I've seen, which is quite interesting.  Maybe they can institutionally face fears?  Or maybe they want conflict?  Regardless of their timeline, which is slow now even by their own metrics, they seem hundreds of millions of people starving/out of water/fleeing before and by 2040.  Temperature metrics don't matter as much as effects, which is a great way to view things.  We don't understand what temps we'll be at, but we don't even know what those temps signify, so separate the two values.",
267,Science & Institutions & Concepts/ipcc keeps focusing on below 2.pdf,Focus of the IPCC Assessment Reports Has Shifted to Lower Temperatures,2022,Academic/Peer-reviewed,Primary,(convincing) accusations of 1.5/2 bias in IPCC reporting/math,"Only 14% of mentions are above 2C in AR6.  Ar 1 to 4 had more mentions of higher C (50%).  This is especially odd as most IPCC metrics suggest >2C for 2100, for pathway peaks, etc.  So they find it the most likely and mention it barely?",86%,,TRUE,TRUE,4,"So we are tracking above a 2C pathway by even the IPCC's estimate, and so they spend most of their mentions on a better future than reality?  Listen hope is great, but it works best as part of an actionable plan based in empirical observation.  And we are NOT on a 2C pathway, and we're not moving towards one at scale.  We need to lay out, in minute detail, how to GET to one, before we talk about how great it'll be once we're there.  And that's from 'inside' the IPCCs constraints, which I think we've proven are not reality based themselves.  So the IPCC is being conservative inside their own operating space AFTER conservative carving apart the greater possibility space too.  We're being hopeful about something we've already been hopeful about...it's fine to accuse me of cherry-picking if you want, but I hope you can see it elsewhere too.  And are they doing it?",Multiple/Observation
268,Science & Institutions & Concepts/on the progression of climate disasters.pdf,On the progression of climate disasters,2022,Government,Secondary,"A very strange documentation on doomerism and global collapse, pointing toward 2036","Energy from space, interacting with the deep earth?  Quite odd, as lots of details appear very good, but the core mechanistic assertion is just…I don't know?  Space energy.  Seems like it wants to sell me something, but left that bit out.  It is nonetheless quite close to my own timeframes, though I deny anything about 1995.  Or 2036 for that matter.  Included so you know, that I know, what bias can be like in other directions, for other reasons.  I do NOT want to be a crackpot, I want us to be right",,,FALSE,TRUE,1,"You can notice many facts and still have bad or incomplete synthesis.  I fall into this too often, I just hope I'm not as bad as 'energy from space'.  I won't map out every interaction for you, as I don't have time.  But I will come back later and fill in what I can, and I will not leave any hole as large as this I hope.  I also don't need to be right about collapse, please hear that.  I just can't escape the gravity well of it, without something exponentially greater I have yet to find.  AI is our best bet",
269,Science & Institutions & Concepts/slow pace.rtf,WWF on the slow pace of climate science and action,2023,News/Media,Secondary,"UN climate science report, via WWF",Slow pace of climate change policy.  Disasters increasingly likely as 1.5 is 'not being met',43%,20 to 30 years early for 'major disruption',TRUE,TRUE,1,"One NGO reporting on another NGO, and both finding the same thing.  We're not following our own guidelines, or our own science.  Our very institutions are saying we're failing on the metrics they themselves set.",
270,Science & Institutions & Concepts/sports studies can't be replicated.pdf,Estimating the Replicability of Sports and Exercise Science Research,2025,Academic/Peer-reviewed,Primary,Review of top tier journals between 2016 and 2021,"Only 26% of studies could be completely replicated, with 36% showing comparable sizes.  Only 14% of author's shared their direct data",74%,,FALSE,TRUE,3,"5% is supposed to be acceptable error for some science, .5% for others.  Instead we're at 76% for some domains.  Please think about this.  From the entire perspective of confidence and proof, this means some domains have failed.  They are not science, they are not rigorous, they are unproven (or even disproven) assertions.  Now I can operate in that area, and here I invite you to realize...you have been operating in that area all along.  95% is a great ambition, but we are not yet there.  And we need to stop acting like we are.  I am not the one claiming this btw, it's the sciences themselves.  When they can't replicate a study, they are saying, we may not be correct.  Suspect us.  Seek verification.  So I suggest we believe them on that assertion, since there at least they have data to back themselves up.  There are a LOT of these kinds of studies btw, and I present this one simply for the record.  This is where I started my whole 'investigation' but now...well we have other problems then veracity alone.",Multiple
